"region","year","cases"
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2000,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2001,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2002,288
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2003,1
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2004,14
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2005,19
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2006,3
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2007,2
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2008,4
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2009,1
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2010,7
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2011,1024
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2012,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2013,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2014,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2015,2
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2016,1
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2017,5
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2018,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2019,0
"BFA.1_1,BFA.10_1,BFA.11_1,BFA.12_1,BFA.13_1,BFA.2_1,BFA.3_1,BFA.4_1,BFA.5_1,BFA.6_1,BFA.7_1,BFA.8_1,BFA.9_1",2020,17
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2000,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2001,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2002,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2003,2
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2004,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2005,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2006,1
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2007,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2008,5
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2009,29
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2010,6
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2011,7
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2012,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2013,4
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2014,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2015,0
