region,year,cases,deaths
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1990,50,38
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1991,91,54
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1992,22,18
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1993,18,14
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1994,7,7
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1995,15,15
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1997,63,47
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1998,57,39
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",1999,68,33
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2000,8,6
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2001,4,3
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2002,15,8
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2003,6,4
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2004,13,6
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2005,16,7
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2006,16,10
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2007,6,6
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2008,2,0
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2009,0,0
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2010,3,1
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2011,2,2
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2012,3,2
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2013,1,1
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2014,1,0
"BOL.1_1,BOL.2_1,BOL.3_1,BOL.4_1,BOL.5_1,BOL.6_1,BOL.7_1,BOL.8_1,BOL.9_1",2015,0,0
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1990,2,1
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1991,15,8
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1992,12,8
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1993,83,19
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1994,19,6
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1995,4,2
"BRA.1_1,BRA.10_1,BRA.11_1,BRA.12_1,BRA.13_1,BRA.14_1,BRA.15_1,BRA.16_1,BRA.17_1,BRA.18_1,BRA.19_1,BRA.2_1,BRA.20_1,BRA.21_1,BRA.22_1,BRA.23_1,BRA.24_1,BRA.25_1,BRA.26_1,BRA.27_1,BRA.3_1,BRA.4_1,BRA.5_1,BRA.6_1,BRA.7_1,BRA.8_1,BRA.9_1",1997,3,3
